Accession number,CIAT code,DOI,Synonyms,Common names,Genus,Species,Subspecies,Variety,Biological status,CORE collection,Country,Department,County,Place,Date of collection (dd-mm-yyyy),Altitude (masl),Latitude (decimal),Longitude (decimal),Name,Institution,Country,Name,dd-mm-yyyy,Growth habit,Plant height (cm),Flowering,Shape of leaf-lobe central,Petiole color,Developed leaf color,Number of leaf lobes,Root color,Dry matter content (%),Total HCN content (ppm),Total sugars (%),Total amylose (%),Clarity (%),Temperature pasting (°C),Maximum viscosity,Breakdown (cP),Easy cooking (minutes),,,Null,  1  ,  2  ,  3  ,  4  ,Responsible
PHI6,PHI 6,10.18730/PDJMN,,G 50-3,Manihot,esculenta,,,Improved-Line,0,Philippines,,,,,,,,,VISAYAS STATE COLLEGE OF AGRICULTURE,Philippines,,01-01-1988,,155,Absent,Elliptic-Lanceolate,,,,White,40.33,458,1.12,20.35,57.0,63.6,876,378,2.77,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
PTR1,PTR 1,10.18730/PB5Y9,001,Pana De Corozal,Manihot,esculenta,,,Landrace,1,Puerto Rico,Mayaguez,Mayaguez,,07-10-1970,30,18.2,-67.15,,,,Victor Manuel Patino,07-10-1970,,285,Absent,Straight or Linear,,,,White,15.51,225,5.5,22.23,30.4,64.1,632,118,4.4,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,,Cesar Humberto Ocampo Nahar
PER612,PER 612,10.18730/PABVS,UNPRG 212,Victoria,Manihot,esculenta,,,Landrace,1,Peru,Piura,Ayabaca,,,,-4.6333,-79.7167,,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,Peru,,01-11-1987,,220,Absent,Lanceolate,,,,White,33.17,52,3.4,20.94,53.1,66.05,650,162,3.68,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
PER600,PER 600,10.18730/P7WP8,7576,Lapicero,Manihot,esculenta,,,Landrace,0,Peru,Pasco,Santa Rosa Chuchumas,,15-07-1986,360,-10.1167,-78.2167,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,"Margaret Jan Salick, Sandra Knapp",01-01-1987,,215,Absent,Elliptic-Lanceolate,,,,Yellow,33.42,180,4.4,23.76,39.0,67.5,580,228,2.05,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
PER594,PER 594,10.18730/PCPZR,7552,Ashapellemuem,Manihot,esculenta,,,Landrace,0,Peru,Pasco,Shiringamazu,Kms: 5,10-07-1986,380,-10.25,-75.45,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,"Edward Carey, Margaret Jan Salick, Sandra Knapp",01-01-1987,Bush,225,Present,Lanceolate,,,,White,41.19,116,1.7,21.59,53.7,65.1,648,223,2.35,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,,Cesar Humberto Ocampo Nahar
FLA427-1M,FLA 427- 1M,10.18730/PC9YE,"3999, BRA-085707",,Manihot,esculenta,flabellifolia,,Wild,0,Brazil,Mato Groso,,,25-05-1992,,-13.9,-59.7333,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLA427-1N,FLA 427- 1N,10.18730/PAR18,"3999, BRA-085707",,Manihot,esculenta,flabellifolia,,Wild,0,Brazil,Mato Groso,,,25-05-1992,,-13.9,-59.7333,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLA428-5K,FLA 428- 5K,10.18730/P9XME,"4000, BRA-085715",,Manihot,esculenta,flabellifolia,,Wild,0,Brazil,Rondonia,Vilhena,,26-05-1992,,-11.75,-61.0833,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLA429-7D,FLA 429- 7D,10.18730/PC9ZF,"4001, BRA-085723",,Manihot,esculenta,flabellifolia,,Wild,0,Brazil,Rondonia,Pimenta Bueno,,26-05-1992,,-11.6167,-61.2,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLA434-4G,FLA 434- 4G,10.18730/P92BX,"4009, BRA-085774",,Manihot,esculenta,flabellifolia,,Wild,0,Brazil,Rondonia,Ariquemes,,27-05-1992,,-9.35,-63.1333,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
