Accession number,CIAT code,DOI,Synonyms,Common names,Genus,Species,Subspecies,Variety,Biological status,CORE collection,Country,Department,County,Place,Date of collection (dd-mm-yyyy),Altitude (masl),Latitude (decimal),Longitude (decimal),Name,Institution,Country,Name,dd-mm-yyyy,Growth habit,Plant height (cm),Flowering,Shape of leaf-lobe central,Petiole color,Developed leaf color,Number of leaf lobes,Root color,Dry matter content (%),Total HCN content (ppm),Total sugars (%),Total amylose (%),Clarity (%),Temperature pasting (°C),Maximum viscosity,Breakdown (cP),Easy cooking (minutes),,,Null,  1  ,  2  ,  3  ,  4  ,Responsible
COL328,COL 328,10.18730/PDARW,"COL 328, NAR-355",Naranjale#A,Manihot,esculenta,,,Landrace,0,Colombia,Narino,Taminango,Loma Del Naranjo,18-07-1969,1820,1.5333,-77.2333,,,,Pablo Emilio Daza,18-07-1969,Bush,215,Absent,Lanceolate,,,,Cream,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
COL228,COL 228,10.18730/P8FDF,"CAU-321, COL 228",Barranque#A,Manihot,esculenta,,,Landrace,0,Colombia,Cauca,Santander De Quilichao,Las Guecadas,30-06-1969,1450,3.0833,-76.4667,,,,Victor Manuel Patino,30-06-1969,Bush,240,Present,Lanceolate,,,,Cream,25.31,152,2.86,19.35,41.8,65.8,838,328,2.77,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
COL631,COL 631,10.18730/PCGZH,"ANT-301, COL 631",Blanca,Manihot,esculenta,,,Landrace,0,Colombia,Antioquia,Valparaiso,Dario Bolivar,18-10-1969,700,5.55,-75.5833,,,,Victor Manuel Patino,18-10-1969,Bush,,,,,,,,,,,,,,,,,,,,86,,96,,Cesar Humberto Ocampo Nahar
COL666,COL 666,10.18730/PBQWW,"COL 666, MET-333",Cadena Colorada,Manihot,esculenta,,,Landrace,0,Colombia,Meta,Puerto Lleras,La Ultima Copa,16-10-1969,310,3.2333,-73.3333,,,,Pablo Emilio Daza,16-10-1969,Bush,,,,,,,,,,,,,,,,,,,,86,,,,Cesar Humberto Ocampo Nahar
COL88,COL 88,10.18730/PDATY,"COL 88, VAL-311",Blanca,Manihot,esculenta,,,Landrace,0,Colombia,Valle Del Cauca,Buga,El Esfuerzo,03-06-1969,1000,3.8333,-76.2667,,,,Pablo Emilio Daza,03-06-1969,Bush,175,Absent,Lanceolate,,,,Cream,25.22,587,4.61,21.42,36.4,63.95,814,359,2.15,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
COL1019,COL 1019,10.18730/PAZ2B,"ANT-444, COL 1019",Amarilla,Manihot,esculenta,,,Landrace,0,Colombia,Antioquia,Zaragoza,T.Guanzalez,15-12-1969,360,7.45,-74.8,,,,Alberto Angel,15-12-1969,Bush,,,,,,,,17.63,214,4.0,25.8,34.7,65.45,729,125,4.17,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",n,,,,,Cesar Humberto Ocampo Nahar
COL1793,COL 1793,10.18730/P7P7Q,"COL 1793, MAG-303",Zamba Sola,Manihot,esculenta,,,Landrace,0,Colombia,Magdalena,Salamina,La Micaela,05-09-1970,40,10.4167,-74.7,,,,Pablo Emilio Daza,05-09-1970,Bush,235,Present,Lanceolate,,,,White,44.96,51,2.6,20.06,42.85,64.45,1095,497,2.31,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
COL2023,COL 2023,10.18730/P9A8Q,"28034, COL 2023",,Manihot,esculenta,,,Landrace,0,Colombia,Amazonas,,,,,,,,,,,,,270,Present,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL1645,COL 1645,10.18730/PDB43,"COL 1645, PUT-313",Chancha,Manihot,esculenta,,,Landrace,0,Colombia,Putumayo,Villa Garzon,Marquetalia,15-04-1970,800,1.0167,-76.1,,,,Victor Manuel Patino,15-04-1970,,165,Present,Lanceolate,,,,,35.91,43,1.9,19.99,47.2,62.35,577,258,1.99,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
COL1506,COL 1506,10.18730/PA4VQ,CMC 77,Ucv 2102,Manihot,esculenta,,,Landrace,0,Venezuela,,,,01-08-1967,,,,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,,10-04-1970,,175,Present,Lanceolate,Green-Yellow,Dark Green,Seven Lobes,White,35.76,98,2.84,22.15,37.6,66.4,726,269,2.41,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
COL1400,COL 1400,10.18730/P8FXZ,"COL 1400, SAN-464",Negrita,Manihot,esculenta,,,Landrace,0,Colombia,Santander Del Sur,Puerto Wilches,Corredor,18-03-1970,120,7.3333,-73.8167,,,,Pablo Emilio Daza,18-03-1970,Bush,180,Present,Lanceolate,,,,White,38.78,94,2.4,23.47,68.5,64.35,584,229,1.96,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
COL1255,COL 1255,10.18730/PAZBM,"CAS-310, COL 1255",Blanca,Manihot,esculenta,,,Landrace,0,Colombia,Casanare,Aguazul,Villa Emma,14-01-1970,300,5.15,-72.5,,,,Victor Manuel Patino,14-01-1970,Bush,245,Present,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL1209,COL 1209,10.18730/PAZDP,"COL 1209, SAN-381",Mata Marrano,Manihot,esculenta,,,Landrace,0,Colombia,Santander Del Sur,Oiba,Noe Nino,18-01-1970,1600,6.2333,-73.25,,,,Victor Manuel Patino,18-01-1970,Bush,245,Absent,Lanceolate,,,,Cream,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL1184,COL 1184,10.18730/P8FZ~,"COL 1184, SAN-356",Amarilla,Manihot,esculenta,,,Landrace,0,Colombia,Santander Del Sur,Cimitarra,Cascajero,16-01-1970,500,6.2833,-73.8667,,,,Pablo Emilio Daza,16-01-1970,Bush,210,Absent,Linear-Pandurate,,,,White,,,,,,,,,,,,,,,96,,Cesar Humberto Ocampo Nahar
COL1069,COL 1069,10.18730/PAZEQ,"ANT-494, COL 1069",Gallinaza,Manihot,esculenta,,,Landrace,0,Colombia,Antioquia,Puerto Berrio,Lazaro Marin,25-12-1969,260,6.4667,-75.35,,,,Alberto Angel,20-12-1969,Bush,200,Absent,Elliptic-Lanceolate,Green,Dark Green,Seven Lobes,White,44.44,58,2.01,18.88,53.1,66.6,722,170,3.62,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,91,,,Cesar Humberto Ocampo Nahar
COL1030,COL 1030,10.18730/PCH9V,"ANT-455, COL 1030",Palmire#A,Manihot,esculenta,,,Landrace,1,Colombia,Antioquia,Remedios,Santa Cruz,16-12-1969,865,7.0167,-74.6333,,,,Alberto Angel,16-12-1969,Bush,160,Present,Lanceolate,,,,White,,,,,,,,,,,,,86,,,,Cesar Humberto Ocampo Nahar
COL940,COL 940,10.18730/PA56$,"COL 940, COR-355",Caucanita Macho,Manihot,esculenta,,,Landrace,0,Colombia,Cordoba,Monteria,Enrique Bernal,01-12-1969,40,8.7,-75.8333,,,,Victor Manuel Patino,01-12-1969,Bush,,,,,,,,,,,,,,,,,,,,,91,,,Cesar Humberto Ocampo Nahar
COL1469,COL 1469,10.18730/P9RD*,CMC 41,Maria Prieta,Manihot,esculenta,,,Landrace,0,Colombia,Cordoba,,,01-07-1967,,,,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,,03-04-1970,,,,,,,,,33.29,309,4.3,19.23,51.5,67.05,888,367,2.31,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
COL1457,COL 1457,10.18730/P84P5,CMC 29,Amarilla,Manihot,esculenta,,,Landrace,0,Colombia,Narino,El Tambo,,01-04-1967,,1.3667,-77.35,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,E. A. Yepes,03-04-1970,,190,Absent,Lanceolate,,,,Cream,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL1458,COL 1458,10.18730/PCZ7X,CMC 30,Yuca De Dios,Manihot,esculenta,,,Landrace,1,Colombia,Narino,El Tambo,,01-04-1967,,1.3667,-77.35,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,E. A. Yepes,03-04-1970,,200,Present,Lanceolate,,,,Cream,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL1432,COL 1432,10.18730/PAKQJ,CMC 3,,Manihot,esculenta,,,Landrace,0,Colombia,,,,,,,,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,,03-04-1970,,230,Present,Lanceolate,,,,Cream,,,,,,,,,,,,,86,,,,Cesar Humberto Ocampo Nahar
COL1435,COL 1435,10.18730/P9RHU,CMC 6,"Seis Meses Comun, Seismeses Comun",Manihot,esculenta,,,Landrace,0,Colombia,,,,,,,,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,,03-04-1970,,170,Present,Lanceolate,,,,Cream,31.07,126,5.33,18.68,56.9,63.6,751,285,1.86,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
COL1398,COL 1398,10.18730/P9RN3,"COL 1398, SAN-462",Patatortola,Manihot,esculenta,,,Landrace,1,Colombia,Santander Del Sur,San Vicente De Chucuri,La Fortuna,18-03-1970,620,6.8167,-73.35,,,,Pablo Emilio Daza,18-03-1970,Bush,245,Absent,Elliptic-Lanceolate,,,,White,33.09,131,3.63,19.4,38.7,66.9,913,352,2.77,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
COL1399,COL 1399,10.18730/PAKTN,"COL 1399, SAN-463",Botona,Manihot,esculenta,,,Landrace,0,Colombia,Santander Del Sur,San Vicente De Chucuri,La Fortuna,18-03-1970,620,6.8167,-73.35,,,,Pablo Emilio Daza,18-03-1970,Bush,230,Present,Lanceolate,,,,White,21.93,94,7.89,20.21,52.7,67.4,726,235,3.39,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
COL1384,COL 1384,10.18730/PCZA*,"COL 1384, SAN-448",Varita Negra,Manihot,esculenta,,,Landrace,0,Colombia,Santander Del Sur,El Palmar,La Ceiba,17-03-1970,820,6.4833,-73.2667,,,,Pablo Emilio Daza,17-03-1970,Bush,270,Present,Lanceolate,,,,White,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
COL1356A,COL 1356A,10.18730/P84R7,"COL 1356A, SAN-420",Flor,Manihot,esculenta,,,Landrace,0,Colombia,Santander Del Sur,Guepsa,El Pomasal,15-03-1970,1540,6.0333,-73.5667,,,,Pablo Emilio Daza,15-03-1970,Bush,240,Present,Elliptic-Lanceolate,Green With Little Red,Dark Green,Nine Lobes,White,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
COL1330,COL 1330,10.18730/PC5RW,"BOY-389, COL 1330",Tamalota,Manihot,esculenta,,,Landrace,0,Colombia,Boyaca,Tipacoque,La Playa,11-02-1970,1800,6.3833,-72.6333,,,,Pablo Emilio Daza,11-02-1970,Bush,305,Absent,Lanceolate,,,,White,20.6,215,6.05,22.45,34.4,65.85,725,188,3.29,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,,Cesar Humberto Ocampo Nahar
COL1334,COL 1334,10.18730/P9RP4,"BOY-393, COL 1334",Chamelota,Manihot,esculenta,,,Landrace,0,Colombia,Boyaca,Cobarachia,Las Uvas,12-02-1970,1820,6.45,-72.7,,,,Pablo Emilio Daza,12-02-1970,Bush,165,Absent,Oblong-Lanceolate,,,,White,31.9,804,5.62,18.48,44.6,68.2,734,248,2.61,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
COL1313,COL 1313,10.18730/PDV6U,"BOY-372, COL 1313",Alayera,Manihot,esculenta,,,Landrace,0,Colombia,Boyaca,Miraflores,Los Naranjos,07-02-1970,1420,5.1667,-73.1167,,,,Pablo Emilio Daza,07-02-1970,Bush,235,Present,Lanceolate,,,,White,22.8,317,8.35,24.05,25.8,64.1,797,185,4.24,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,91,,,Cesar Humberto Ocampo Nahar
COL1284,COL 1284,10.18730/P84VA,"BOY-343, COL 1284",Banderilla,Manihot,esculenta,,,Landrace,0,Colombia,Boyaca,Almeida,Los Duraznos,05-02-1970,1900,4.9,-73.35,,,,Pablo Emilio Daza,05-02-1970,Bush,135,Absent,Lanceolate,,,,White,,,,,,,,,,,,,,91,,,Cesar Humberto Ocampo Nahar
COL1249,COL 1249,10.18730/PDV70,"CAS-304, COL 1249",Cadena Segunda,Manihot,esculenta,,,Landrace,0,Colombia,Casanare,Aguazul,Jorge Calderon,14-01-1970,800,5.15,-72.5,,,,Victor Manuel Patino,14-01-1970,Bush,270,Absent,Lanceolate,,,,White,45.19,114,1.02,21.45,37.8,60.65,820,297,2.61,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
COL1226,COL 1226,10.18730/P84YD,"COL 1226, SAN-398",Percha,Manihot,esculenta,,,Landrace,0,Colombia,Santander Del Sur,San Jose De Suaita,Luis Rodriguez,18-01-1970,1330,6.0833,-73.25,,,,Victor Manuel Patino,18-01-1970,Bush,395,Absent,Elliptic-Lanceolate,Green With Little Red,Light Green,Nine Lobes,White,19.17,73,3.44,19.87,27.7,64.65,623,115,4.04,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
COL1182,COL 1182,10.18730/PBDM~,"COL 1182, SAN-354",Zata,Manihot,esculenta,,,Landrace,0,Colombia,Santander Del Sur,Cimitarra,Cascajero,16-01-1970,500,6.2833,-73.8667,,,,Pablo Emilio Daza,16-01-1970,Bush,275,Absent,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL1132,COL 1132,10.18730/PAM2X,"COL 1132, CUN-424",Granadora,Manihot,esculenta,,,Landrace,1,Colombia,Cundinamarca,Paime,El Guamal,11-01-1970,1350,5.3333,-74.1667,,,,Pablo Emilio Daza,11-01-1970,Bush,250,Present,Oblong-Lanceolate,,,,White,29.06,297,2.6,22.74,15.61,66.25,855,287,3.32,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
CG1118-121,CG 1118- 121,10.18730/PA6P8,CG 1118- 121,,Manihot,esculenta,,,Improved-Line (COL 2017xCOL 2060),1,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,200,Present,Lanceolate,Red With Little Green,Dark Green,Seven Lobes,White,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
CG7-31,CG 7- 31,10.18730/PCJ7M,CG 7- 31,,Manihot,esculenta,,,Improved-Line (COL 113xCOL 22),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,205,Present,Linear-Pandurate,Green,Dark Green,,Cream,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
SM643-17,SM 643- 17,10.18730/P9BNZ,SM 643- 17,,Manihot,esculenta,,,Improved-Line ( CM 922- 2),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,220,Present,Lanceolate,Red With Little Green,Dark Green,Seven Lobes,White,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
GUTXXX-44,GUT XXX- 44,10.18730/P7R17,,,Manihot,guaranitica,,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
CUB37,CUB 37,10.18730/PBS6~,,Cristalina,Manihot,esculenta,,,Landrace,0,Cuba,,,,,,,,,"CENTRO DE MEJORAMIENTO DE SEMILLAS AGAMICAS FRUCTOSOS CEMSA- ""FRUCTUOSO RODRIGUEZ""",Cuba,,05-07-1979,,,,,,,,,30.59,278,2.72,22.08,32.1,66.05,628,202,2.84,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
CM3388-2,CM 3388- 2,10.18730/P7R4A,CM 3388- 2,,Manihot,esculenta,,,Improved-Line ( CM 621- 167xCOL 22),0,Colombia,Valle Del Cauca,Palmira,Ciat Kms: 17,,915,3.5333,-76.25,,,,,,,150,Present,Straight or Linear,Red,Dark Green,Seven Lobes,White,,,,,,,,,,,,,,91,,,Cesar Humberto Ocampo Nahar
PHI4,PHI 4,10.18730/P8HB3,,Datu,Manihot,esculenta,,,Landrace,1,Philippines,,,,,,,,,VISAYAS STATE COLLEGE OF AGRICULTURE,Philippines,,01-01-1988,,185,Present,Lanceolate,,,,White,27.07,1109,4.0,20.84,50.8,64.15,706,243,3.13,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,96,,Cesar Humberto Ocampo Nahar
BRA487,BRA 487,10.18730/P8HC4,BRA-059650,Ajuda,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0138,UNIDADE DE EXPERIMENTACAO E PESQUISA DE AMBITO ESTADUAL DO ACRE,Brazil,,01-09-1982,,230,Absent,Lanceolate,Red With Little Green,Dark Green,Seven Lobes,Yellow,37.79,413,3.5,19.91,48.7,62.95,983,435,3.36,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,,Cesar Humberto Ocampo Nahar
MAL51,MAL 51,10.18730/P7R8E,MM 102,Bangkok 2,Manihot,esculenta,,,Landrace,0,Thailand,,,,01-01-1971,,,,,MALAYSIAN AGRICULTURAL RESEARCH AND DEVELOPMENT INSTITUTE,Malaysia,,10-03-1986,,235,Present,Elliptic-Lanceolate,Green,Dark Green,Five Lobes,White,33.4,230,4.08,20.47,49.2,67.35,422,144,2.44,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
VEN22,VEN 22,10.18730/PB154,"022, UCV 2203",,Manihot,esculenta,,,Landrace,0,Venezuela,,,,10-08-1966,,,,,UNIVERSIDAD CENTRAL DE VENEZUELA,Venezuela,Ruben D. Guillen,28-01-1971,,240,Absent,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,,,96,100,Cesar Humberto Ocampo Nahar
PAR146,PAR 146,10.18730/PBSE4,,Chaco,Manihot,esculenta,,,Landrace,0,Paraguay,,,,,,,,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,,01-11-1985,,135,Present,Oblong-Lanceolate,,,,White,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
PAR164,PAR 164,10.18730/P8HF7,,Cano,Manihot,esculenta,,,Landrace,0,Paraguay,,,,,,,,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"J. Gerardo Vieira, Tomas Mayeregger",01-11-1985,,175,Present,Lanceolate,,,,White,36.21,35,1.39,19.62,50.5,63.35,944,412,3.75,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
PAR35,PAR 35,10.18730/PDD0T,"069, M 069",,Manihot,esculenta,,,Landrace,1,Paraguay,Amambay,Bella Vista,Kms: 41,11-03-1983,,-22.1167,-56.4667,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"Alvaro Amaya, J. Gerardo Vieira, Luis Caceres Alvarez",01-11-1983,Bush,205,Present,Lanceolate,,,,White,28.28,262,7.9,22.96,50.9,65.55,782,266,2.97,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
PAR100,PAR 100,10.18730/PB176,"183, M 183",Seda,Manihot,esculenta,,,Landrace,1,Paraguay,Canendiyu,Y Jhovy,,05-04-1983,,-24.3333,-54.9167,,MINISTERIO DE AGRICULTURA Y GANADERIA,Paraguay,"J. Gerardo Vieira, Mario Sanabria L., Tomas Mayeregger",01-11-1983,Bush,190,Present,Lanceolate,,,,White,32.86,139,1.9,19.23,72.9,62.1,188,110,3.72,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
ARG96,ARG 96,10.18730/P8HH9,"125, IGE125",Concepcion Grande,Manihot,esculenta,,,Landrace,0,Argentina,Formosa,Pirane,Inta-El Colorado Kms: 2,12-05-1993,80,-26.3,-59.3667,,,,"Carlos Iglesias, Irland Luis Gnoato, Miguel Elechosa",28-07-1995,Bush,,,,,,,,37.22,104,3.17,21.93,27.4,67.8,685,214,3.36,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
BRA573,BRA 573,10.18730/P7REM,BRA-060950,Hs-12,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0128,INSTITUTO DE PESQUISA AGRONOMICA DO ESTADO DO RIO GRANDE DO SU,Brazil,,01-09-1982,,190,Present,Lanceolate,,,,White,28.2,204,1.2,20.69,44.0,64.55,831,274,3.81,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
MEX76,MEX 76,10.18730/PA6XF,,,Manihot,esculenta,,,Landrace,0,Mexico,Tabasco,Huimanguillo,,,50,17.8167,-93.4,,"INSTITUTO NACIONAL DE INVESTIGACIONES FORESTALES, AGRICOLAS Y PECUARIAS",Mexico,,01-12-1987,,220,Absent,Lanceolate,,,,White,30.96,180,2.63,21.5,48.2,67.2,646,277,2.15,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,100,Cesar Humberto Ocampo Nahar
COL716,COL 716,10.18730/PBEAJ,"COL 716, VAL-406",Amarilla,Manihot,esculenta,,,Landrace,0,Colombia,Valle Del Cauca,Roldanillo,Pedro N. Cortez,23-10-1969,1530,4.35,-76.1167,,,,"Alberto Angel, Victor Manuel Patino",23-10-1969,Bush,,,,,,,,,,,,,,,,,,,,86,,96,,Cesar Humberto Ocampo Nahar
COL719,COL 719,10.18730/PDW1T,"COL 719, VAL-409",,Manihot,esculenta,,,Landrace,0,Colombia,Valle Del Cauca,El Dovio,Jesus E. Marin,23-10-1969,1530,4.4667,-76.2333,,,,"Alberto Angel, Victor Manuel Patino",23-10-1969,Bush,255,Absent,Lanceolate,Purple,Dark Green,Nine Lobes,White,32.35,136,3.0,21.81,50.3,62.4,1149,561,3.55,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
COL705,COL 705,10.18730/PBEDN,"COL 705, MET-372",Guajiba,Manihot,esculenta,,,Landrace,0,Colombia,Meta,Cumaral,Guacavia,22-10-1969,620,4.2333,-73.45,,,,Pablo Emilio Daza,22-10-1969,Bush,175,Present,Lanceolate,,,,White,31.26,47,2.0,20.79,37.8,65.45,783,195,3.65,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
COL685,COL 685,10.18730/P8Z2=,"COL 685, MET-352",Palinegra,Manihot,esculenta,,,Landrace,0,Colombia,Meta,Puerto Lopez,Casco Urbano,18-10-1969,250,4.0667,-72.8667,,,,Pablo Emilio Daza,18-10-1969,Bush,205,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL659,COL 659,10.18730/PAN2R,"COL 659, MET-326",Cadena Blanca,Manihot,esculenta,,,Landrace,0,Colombia,Meta,Granada,El Limon,15-10-1969,400,3.5,-73.6333,,,,Pablo Emilio Daza,15-10-1969,Bush,235,Present,Lanceolate,,,,White,26.24,99,3.5,20.06,49.1,65.85,1046,521,1.47,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
COL663,COL 663,10.18730/P85R2,"COL 663, MET-330",Chirosa Negra,Manihot,esculenta,,,Landrace,0,Colombia,Meta,Fuente De Oro,Casco Urbano,16-10-1969,360,3.4167,-73.5833,,,,Pablo Emilio Daza,16-10-1969,Bush,255,Absent,Straight or Linear,Purple,Dark Green,Seven Lobes,White,,,,,,,,,,,,,86,,,,Cesar Humberto Ocampo Nahar
COL635,COL 635,10.18730/P8Z51,"COL 635, MET-302",Chirosa,Manihot,esculenta,,,Landrace,0,Colombia,Meta,Villavicencio,Cano Grande,14-10-1969,520,4.1167,-73.6167,,,,Pablo Emilio Daza,14-10-1969,Bush,210,Absent,Straight or Linear,,,,White,,,,,,,,,,,,,86,,,,Cesar Humberto Ocampo Nahar
COL643,COL 643,10.18730/PD0YA,"COL 643, MET-310",Caucana,Manihot,esculenta,,,Landrace,0,Colombia,Meta,Villavicencio,Mira Lindo,14-10-1969,500,4.1167,-73.6167,,,,Pablo Emilio Daza,14-10-1969,Bush,215,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,96,100,Cesar Humberto Ocampo Nahar
COL596,COL 596,10.18730/P9T09,"CAL-333, COL 596",,Manihot,esculenta,,,Landrace,0,Colombia,Caldas,Chinchina,Fundac. M.Mejia,02-10-1969,1500,4.9167,-75.55,,,,Victor Manuel Patino,02-10-1969,Bush,230,Present,Lanceolate,,,,White,,,,,,,,,,,,,86,,,,Cesar Humberto Ocampo Nahar
COL601,COL 601,10.18730/PDW8~,"CAL-338, COL 601",,Manihot,esculenta,,,Landrace,1,Colombia,Caldas,Arma,Jose Agudelo,18-10-1969,680,5.5667,-75.0167,,,,Victor Manuel Patino,18-10-1969,Bush,170,Absent,Lanceolate,,,,Cream,36.94,153,5.43,19.17,44.5,67.9,603,201,3.16,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
COL607,COL 607,10.18730/PDW9$,"COL 607, RIS-307",Sietemesina Amari.,Manihot,esculenta,,,Landrace,0,Colombia,Risaralda,Santuario,Jose Cordoba,15-10-1969,990,5.05,-75.9,,,,Victor Manuel Patino,15-10-1969,Bush,280,Absent,Elliptic-Lanceolate,,,,White,39.4,165,3.12,20.91,50.4,66.4,782,235,2.87,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
COL587,COL 587,10.18730/PD11D,"CAL-324, COL 587",Valluna,Manihot,esculenta,,,Landrace,0,Colombia,Caldas,Chinchina,Fundac. M.Mejia,02-10-1969,1500,4.9167,-75.55,,,,Victor Manuel Patino,02-10-1969,Bush,225,Absent,Lanceolate,,,,Cream,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
COL549,COL 549,10.18730/PBEMW,"COL 549, CUN-336",Andaqui,Manihot,esculenta,,,Landrace,0,Colombia,Cundinamarca,San Antonio De Tena,Parc.Del Rosario,23-09-1969,1300,4.5667,-74.3333,,,,Pablo Emilio Daza,23-09-1969,Bush,240,Present,Lanceolate,,,,White,16.85,87,5.3,25.15,28.2,62.3,618,131,3.94,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
