location_CassavaBase ,use_latitude,use_longitude,use_altitude,use_department,use_country,use_ag_zone,use_location_short
"Caracoli. Atlantico, Colombia",10.85,-74.83333333,73,Atlantico,Colombia,Subhumid lowland tropics,cara
"Malambo. Atlantico, Colombia",10.85,-74.75,4,Atlantico,Colombia,Subhumid lowland tropics,mala
Malambo,10.85,-74.75,4,Atlantico,Colombia,Subhumid lowland tropics,mala
"Fonseca. Guajira, Colombia",10.81666667,-72.81666667,207,Guajira,Colombia,Subhumid lowland tropics,fons
Pitalito,10.81666667,-74.85,88,Atlantico,Colombia,Subhumid lowland tropics,pita
"Pitalito. Atlantico, Colombia",10.81666667,-74.85,88,Atlantico,Colombia,Subhumid lowland tropics,pita
Sabanagrande,10.8,-74.76666667,,Atlantico,Colombia,Subhumid lowland tropics,sgra
"Baranoa. Atlantico, Colombia",10.8,-74.91666667,124,Atlantico,Colombia,Subhumid lowland tropics,bara
Polonuevo,10.76666667,-74.85,,Atlantico,Colombia,Subhumid lowland tropics,polo
Sevilla,10.76666667,-74.15,31,Magdalena,Colombia,Subhumid lowland tropics,sevi
Santo Tomas,10.75,-74.81666667,59,Atlantico,Colombia,Subhumid lowland tropics,stom
"Santo Tomas. Atlantico, Colombia",10.75,-74.81666667,59,Atlantico,Colombia,Subhumid lowland tropics,stom
"Luruaco. Atlantico, Colombia",10.66666667,-75.16666667,73,Atlantico,Colombia,Subhumid lowland tropics,luru
Sabanalarga,10.61666667,-74.81666667,46,Atlantico,Colombia,Subhumid lowland tropics,saba
"Sabanalarga. Atlantico, Colombia",10.61666667,-74.81666667,46,Atlantico,Colombia,Subhumid lowland tropics,saba
"Santa Cruz. Atlantico, Colombia",10.56666667,-75.21666667,30,Atlantico,Colombia,Subhumid lowland tropics,scru
"Repelon. Atlantico, Colombia",10.55,-75.11666667,143,Atlantico,Colombia,Subhumid lowland tropics,repe
Repelon,10.55,-75.11666667,143,Atlantico,Colombia,Subhumid lowland tropics,repe
Media Luna,10.51666667,-74.51666667,20,Magdalena,Colombia,Subhumid lowland tropics,mlun
"Media Luna. Magdalena, Colombia",10.51666667,-74.51666667,20,Magdalena,Colombia,Subhumid lowland tropics,mlun
Pivijay,10.41666667,-74.31666667,51,Magdalena,Colombia,Subhumid lowland tropics,pivi
"Pivijay. Magdalena, Colombia",10.41666667,-74.31666667,51,Magdalena,Colombia,Subhumid lowland tropics,pivi
"Valledupar. Cesar, Colombia",10.41666667,-73.56666667,1222,Cesar,Colombia,Subhumid lowland tropics,vall
"Caribia. Magdalena, Colombia",10.25,-74.11666667,20,Magdalena,Colombia,Subhumid lowland tropics,cbia
Caribia,10.25,-74.11666667,20,Magdalena,Colombia,Subhumid lowland tropics,cbia
Agustin Codazzi,9.933333333,-73.21666667,,Cesar,Colombia,Subhumid lowland tropics,acod
"Laberinto. Sucre, Colombia",9.866666667,-75.5,88,Sucre,Colombia,Subhumid lowland tropics,labe
Tolú,9.5,-75.51666667,19,Sucre,Colombia,Subhumid lowland tropics,tolu
Los Palmitos,9.366666667,-75.26666667,183,Sucre,Colombia,Subhumid lowland tropics,palm
Corozal,9.316666667,-75.25,148,Sucre,Colombia,Subhumid lowland tropics,coro
"Corozal. Sucre, Colombia",9.316666667,-75.25,148,Sucre,Colombia,Subhumid lowland tropics,coro
Momil,9.316666667,-75.65,17,Cordoba,Colombia,Subhumid lowland tropics,momi
"Momil. Cordoba, Colombia",9.316666667,-75.65,17,Cordoba,Colombia,Subhumid lowland tropics,momi
